,Training_1,Training_2,Training_3,Training_4,Training_5,Training_6,Training_7,Training_8,Training_9,Training_10,Training_11,Training_12,Training_13,Training_14,Training_15,Training_16,Training_17,Training_18,Training_19,Training_20,Training_21,Training_22,Training_23,Training_24,Training_25,Training_26,Training_27,Training_28,Training_29,Training_30,Training_31,Training_32,Training_33,Training_34,Training_35,Training_36,Training_37,Training_38,Training_39,Training_40,Training_41,Training_42,Training_43,Training_44,Training_45,Training_46,Training_47,Training_48,Training_49,Training_50,Training_51,Training_52,Training_53,Training_54,Training_55,Training_56,Training_57,Training_58,Training_59,Training_60,Training_61,Training_62,Training_63,Training_64,Training_65,Training_66,Training_67,Training_68,Training_69,Training_70,Training_71,Training_72,Training_73,Training_74,Training_75,Training_76,Training_77,Training_78,Training_79,Training_80
0,0.115129923,1.22E-27,0.115946265,0.115871244,0.11786833,0.110445339,0.113807563,0.116206329,0.106723321,0.115787091,0.10675659,0.116317641,0.11655197,0.111884219,0.108163359,0.107806946,0.10662945,0.118092387,0.11141434,0.111479347,0.118697752,0.110039573,0.113837278,0.110222009,0.115907426,0.112918582,0.114667006,0.11288431,0.117297915,0.1053604,0.110717962,0.107357097,0.110809069,0.108361973,0.108700694,0.112946025,0.119298066,0.115376295,0.113280046,0.115078855,0.109891311,0.11342094,0.116618217,0.11559244,0.117063986,0.112415481,0.10677741,0.105023613,0.114512461,0.115166221,0.100546387,0.114193558,0.116519418,0.109804496,0.117042229,0.107926455,0.110767043,0.104233184,0.116201847,0.108813492,0.108872474,0.108150389,0.111849885,0.116497117,0.112291584,0.110975466,0.11331805,0.111894732,0.116476344,0.109706324,0.117974093,0.111935203,0.108762883,0.109482036,0.114236179,0.115931057,0.11688302,0.109958575,0.113762898,0.114714775
1,0.028470555,2.44E-21,-0.062394901,0.134910728,0.026072976,-0.116212661,0.107035112,0.06472105,0.02078095,-0.129844449,0.038551311,0.061112279,0.153822085,0.042443746,0.012518924,0.029537823,0.025693104,0.163856986,0.052396085,-0.053713899,0.166124411,-0.030132012,0.170429236,-0.096681632,0.193782062,0.135180492,0.001611469,0.093982537,-0.018265872,0.044854569,-0.185577433,-0.093345989,-0.178096361,-0.142784168,0.138469922,-0.050328927,-0.037130635,0.039292193,-0.151086701,-0.084201171,-0.179588524,-0.025450895,-0.12855864,-0.056904578,0.264413792,-0.059040571,0.019938292,-0.125507312,-0.040594796,0.225099742,-0.194965556,0.145704597,0.071729396,-0.02933583,0.191169103,-0.110274408,0.071634927,0.026161512,0.140239908,-0.184723596,-0.128844282,0.056983311,-0.129161265,0.024714086,0.11613172,-0.0170161,-0.006393385,-0.095475096,0.197410909,-0.179103454,0.057680037,0.0829031,-0.066049184,-0.069875423,-0.026589524,-0.154349265,-0.088742192,0.018147027,-0.136455329,-0.106751412
2,-0.034741018,9.21E-19,-0.062137798,-0.104244021,-0.139832359,0.17254062,0.1944399,0.093351938,-0.18744866,0.159831462,-0.074340777,0.211356392,0.073376609,-0.057708173,0.175211055,-0.036842057,0.028794099,-0.032575985,-0.012604443,0.09790367,-0.047145657,-0.094696433,-0.008628899,-0.010946457,0.099486481,-0.110166754,-0.163610192,0.239605025,0.017087545,-0.211258118,-0.058011466,6.81E-05,-0.05458951,-0.141317697,-0.136166339,-0.056881259,-0.0285914,0.103077436,0.064918582,-0.039587596,-0.049090685,-0.075770301,-0.078925181,-0.101354005,-0.017404388,0.158867528,-0.008718057,-0.097137724,0.11459606,0.006758908,-0.1103599,-0.103613143,0.217053943,-0.143748254,-0.053184716,-0.037104771,0.072250631,-0.184275128,-0.072224327,0.064034336,-0.038054654,-0.046405872,0.036323609,0.113721075,-0.141144249,0.172974171,0.172893795,-0.054477064,-0.063728621,0.029284908,-0.138658609,0.208563593,0.230937469,0.013397778,0.18554069,-0.065133762,0.016001203,0.039035651,0.067296582,-0.118893764
3,0.068287779,-1.42E-18,0.189027587,0.150512401,0.000987936,0.092368617,0.06086476,0.243571443,-0.111270172,-0.133378673,-0.110905785,-0.028390894,0.044908631,-0.007652741,-0.07155916,-0.178837797,0.02274203,-0.152856856,-0.090367833,0.042884243,0.173850054,0.030683362,-0.079159455,0.132410462,0.005810962,-0.075172192,-0.020170342,0.142028171,-0.147014065,-0.037655013,0.107924229,0.020676717,-0.128493116,-0.059639486,-0.020926138,0.194536094,0.125755815,0.08329283,0.148967211,0.051569135,0.012641891,0.002030341,0.006115828,0.192564117,0.077354158,-0.191473177,-0.07056219,-0.039009734,0.146742831,0.071803845,-0.164069678,0.15073768,-0.180332654,-0.068631446,-0.01319936,-0.20183939,-0.051351213,-0.110890215,0.016026841,0.138440517,0.095504718,-0.091023073,-0.027442668,0.060628344,-0.043128794,0.036593308,-0.149529102,-0.002215462,-0.035210824,-0.163630128,-0.115815421,-0.204016986,-0.053081563,0.284943884,0.03694129,0.054535272,-0.113542072,-0.106811762,-0.037552688,0.083601748
4,-0.167740995,3.93E-17,-0.008780006,-0.139872689,-0.078374336,-0.084919761,-0.26594334,-0.13915674,-0.021241522,0.105547655,-0.054031644,0.146527373,0.156110666,-0.146508802,-0.003409018,-0.04286901,0.110429255,-0.025447077,0.019714489,-0.036472144,-0.101771591,-0.016748946,0.085914475,0.243239975,0.080670842,0.007069636,-0.047370488,0.022330529,-0.047964064,0.039984652,0.364525785,0.168408889,-0.067543109,-0.015978908,0.006238586,-0.086366942,0.003124025,-0.097232771,0.000250342,-0.090803008,-0.076133819,0.123716747,-0.121109729,0.029230733,-0.155766578,-0.018684882,-0.069723021,-0.047481684,-0.067841621,0.019635971,-0.012421738,0.219038937,0.020880825,0.025092836,0.142241858,-0.068549935,-0.001806748,-0.033685827,0.135475055,0.021516124,-0.059966385,0.003084636,-0.054257955,-0.143218742,0.033389598,0.106935852,0.144821871,-0.15652163,0.021035137,0.110753533,0.051647842,0.046635418,-0.13227122,0.34098701,-0.118340415,-0.066990141,0.155092365,0.082166766,-0.082308118,-0.094873895
5,0.046724412,-4.80E-17,-0.006695129,-0.049265021,0.103139761,0.043688249,-0.048368808,0.032342504,-0.077320168,0.110549062,0.027621298,0.17684742,-0.028597673,-0.054318289,-0.099145281,-0.081585275,0.040897371,0.052820274,-0.073189618,-0.181120902,0.12560857,-0.341723025,-0.044525849,-0.177397508,-0.053297686,0.007062766,0.223469269,-0.085762318,-0.025731875,-0.049126886,0.107170065,0.127701995,0.079604196,-0.080249626,-0.010378183,-0.069614668,0.198924089,0.015125153,0.008029606,0.050168431,-0.079167933,-0.11754175,0.074329881,-0.037280662,0.072179567,0.122931761,0.094652709,-0.291038479,0.075699808,-0.099533113,-0.08141966,0.085452502,0.029740415,0.202738818,-0.09370779,0.112944106,-0.123410819,-0.028030281,-0.206619839,-0.027550537,-0.161493984,-0.147390357,-0.086835135,0.077451862,0.066324107,-0.115431434,-0.025074731,0.075880467,0.181843799,-0.103425364,0.125135378,-0.054131284,-0.115536595,0.092328794,0.112209021,0.075195444,0.201305081,-0.049912713,0.151584317,-0.040827441
6,0.107082532,-7.08E-18,-0.083936347,0.000492662,-0.165032824,0.052433198,-0.134490517,-0.094151493,0.044785632,-0.079323294,0.183399371,-0.148082867,0.024858395,0.090795892,0.069974049,0.0296744,0.313426793,-0.07130684,0.027173395,-0.074752403,-0.236632595,-0.030316802,0.06305926,0.118003202,-0.007764778,-0.037545193,-0.089330377,-0.138134617,-0.210663707,0.069689143,-0.016974081,0.154823439,0.022856828,-0.018511223,0.135601566,-0.002325137,-0.036123997,0.176905048,0.020530365,0.054754987,-0.008732465,-0.006732156,-0.143231668,0.06453575,0.108200548,0.008864826,0.18497757,-0.036345045,0.119198756,-0.012963222,0.100650935,0.062287687,0.022600358,0.077232726,-0.228459816,0.044766704,0.03358998,0.092333979,-0.106576985,-0.001917904,-0.016596407,0.00977575,0.114733649,0.113450399,0.066140682,0.196878822,-0.208109319,0.051597957,0.050835864,-0.124839375,-0.217157429,-0.043319013,-0.037467853,0.001623694,0.108471147,-0.177333452,-0.113938362,0.148109329,0.013251952,-0.244237197
7,-0.051039475,3.05E-17,0.02547864,-0.056106714,0.002661321,0.087035794,0.081262322,0.095140022,0.085963832,-0.020041927,0.084808561,-0.145928503,0.116093252,-0.052727619,0.194335923,-0.006979266,0.017136573,-0.08485028,0.154900106,-0.004193206,-0.011068988,-0.091969024,0.010357816,-0.557969665,0.054205249,-0.03048686,0.07134398,-0.109160167,-0.060478006,0.109780963,0.097666337,0.08709088,-0.009768798,-0.039371203,0.1361666,0.036551721,-0.032565292,-0.080413869,0.028944006,-0.103842339,0.046180983,0.017678333,-0.143999106,-0.061921642,-0.211112207,0.026594547,0.065829192,-0.137035086,0.010413634,0.065971345,0.034589532,0.130163919,-0.164976871,0.007844517,-0.025599154,0.061586188,0.200519907,0.066079707,0.000482638,0.106952755,0.049317364,0.09120762,-0.21394087,-0.024142945,-0.007282029,-0.04387593,0.152494305,-0.032314189,-0.123919474,0.065663559,-0.137913997,-0.016242484,0.088646724,0.153350392,0.013713816,0.095470621,-0.236073798,-0.005564546,-0.000576385,0.097935917
8,0.000302936,1.23E-17,-0.00015366,-0.017682701,-0.10248589,0.058069848,-0.238132366,-0.189677392,0.055608828,-0.090910781,-0.032791833,-0.149787315,-0.029973769,0.130023971,0.184479808,0.036543537,-0.13528162,9.13E-05,0.038901183,-0.033710364,0.127716439,0.137684992,-0.043820957,-0.015128172,-0.024494747,-0.153254134,0.001957246,0.474649172,-0.007235133,0.070134237,-0.057734107,-0.076166443,0.31432833,0.028667413,0.065459013,-0.102513401,0.187564609,-0.012050693,0.02836637,-0.012595826,-0.006431709,-0.159215092,0.043757933,-0.056032331,0.07324006,-0.14402439,0.058646337,-0.12975642,-0.054813681,-0.191533243,0.081529453,0.017100946,0.021864228,-0.051217443,0.120337191,0.032526577,0.037088707,0.090925434,-0.050115942,0.031083,-0.054787798,0.03193578,-0.029654898,0.031848199,-0.034275254,-0.112403983,-0.025758106,-0.024791348,-0.068835032,-0.109627728,0.044945811,0.214458338,-0.082058675,0.22854638,0.020004039,-0.057384712,-0.095283535,-0.054430354,0.106587759,-0.073950426
9,0.12995501,6.52E-17,0.117238811,0.024369269,-0.115654098,-0.059799611,-0.110856502,-0.086696769,-0.028316026,-0.052755738,-0.02177846,-0.122736031,0.062174265,-0.047432745,-0.058299329,-0.132632333,0.091001632,-0.107479664,-0.046170425,-0.041020135,0.085769944,-0.225790435,0.097183469,-0.163344536,0.142209657,-0.119637642,-0.144961687,0.022434112,-0.212373384,-0.066948133,0.034633569,-0.052781635,0.063922498,0.023609037,-0.053386597,-0.047386976,0.126124673,-0.002625362,-0.009615261,-0.009428687,0.119377661,0.179840466,0.230153606,0.03978255,0.187569059,-0.13266975,-0.083548226,-0.030221756,-0.082322137,-0.000391725,-0.049342028,-0.002770095,0.02480015,-0.021557389,-0.006587007,0.026725941,-0.058624394,-0.134669522,0.175993172,-0.157101017,-0.075846087,-0.024478463,0.006028097,0.047737263,-0.01811606,0.19710245,0.136510796,0.135878698,-0.03461505,0.263207654,0.021540628,0.069785401,-0.090550305,-0.214794696,-0.131772629,0.088623858,-0.130677879,0.246650295,0.225459139,0.114263169
10,-0.086366734,-1.87E-17,-0.180956687,-0.107447792,0.215276948,0.22759202,-0.078283105,-0.097021891,0.005722553,0.115087763,0.052446958,-0.060034448,-0.055708271,0.029396029,-0.067348398,-0.197610109,-0.010218482,0.041145341,-0.097578175,-0.233006569,0.014633609,0.093259259,0.071664855,-0.008244163,0.148253111,-0.068021456,0.265626287,0.124939268,-0.019939898,-0.070568508,0.022069588,-0.075861668,-0.060653969,-0.183773119,0.043699319,0.084436839,-0.079777202,-0.064675222,0.068001612,-0.143270878,0.213509634,0.019503982,0.165413689,-0.135404206,0.026073795,0.027078457,0.045777369,0.143306948,0.116316111,0.103958376,-0.073631658,0.11599264,0.093096644,0.091472324,-0.1132869,0.138135184,-0.065601843,-0.068226914,0.089257725,0.180524146,0.19962575,-0.112564925,0.052178867,-0.034793409,-0.041325569,0.043844367,-0.08712014,-0.084166303,0.010505327,0.073756691,0.055023269,0.112929016,-0.120908082,-0.099936885,-0.042419772,-0.063694267,-0.218918277,-0.037967137,-0.193569501,-0.101491734
11,0.031598633,-2.23E-17,0.015398086,-0.140164593,-0.053940153,-0.018619605,0.00357822,0.050933919,0.050740175,0.141714114,-0.096583948,0.073738479,-0.19165624,0.016238428,0.003374134,0.102397296,0.080504582,0.025388873,-0.219029589,-0.019107378,0.124640803,0.093535577,0.042065814,-0.204005978,0.025295802,0.020936663,-0.114982938,0.058007719,-0.061946478,0.157365415,0.160198735,0.008458187,-0.024832313,0.128393978,-0.091174488,0.020225384,-0.285617295,0.058623697,0.073674543,-0.054771825,-0.052409861,0.091558022,-0.11906636,-0.130085152,0.056756659,-0.018077829,7.04E-05,-0.087584723,0.059963216,0.036973624,0.088079287,-3.35E-05,0.018805375,-0.032365134,0.077268592,-0.074375509,-0.175384524,0.076994982,0.089161129,0.048868889,-0.01339472,-0.028185263,-0.183019795,0.06151446,-0.008581605,0.057136123,-0.540022437,-0.002771045,-0.007302862,0.075399088,-0.032321262,0.238968462,0.013154158,-0.024884734,0.020149019,0.084349891,0.126680974,0.036133178,0.059403975,0.146731558
12,0.053951815,2.53E-17,-0.102060318,-0.219958425,-0.172857153,0.078461099,1.65E-05,0.021316467,0.062912985,-0.089595812,0.090469791,0.059934228,0.051426008,-0.040316648,-0.007095698,-0.00630045,0.057570928,-0.003644559,0.055799336,-0.043071661,0.19481572,-0.062208593,-0.001540075,0.217448279,-0.049320181,-0.000800557,-0.108287412,0.049887566,-0.110165703,0.053543108,-0.148553334,0.094807416,-0.103704289,-0.059300073,-0.011529027,0.053949278,-0.311500443,0.016573567,0.111521306,-0.10169619,0.030772357,-0.185719278,0.030920678,-0.256930837,0.108593733,-0.099652358,0.013100658,0.192642783,0.166978247,-0.15678912,0.101793471,0.026723089,-0.134684155,0.008519727,0.000749785,-0.06248892,-0.019276677,0.084139559,-0.101937068,0.081243539,0.07282062,0.029626402,-0.232430268,0.132140171,0.110131631,-0.095338327,0.323986252,0.011200696,0.087923786,0.006675195,0.063345593,-0.098460528,-0.146709291,-0.046757083,-0.040738588,0.123499308,0.069938158,0.073928024,0.064769496,0.15497371
13,-0.058645276,-1.12E-16,-0.068620989,-0.072442181,0.119442066,-0.008762547,0.074523111,0.008522897,0.082305974,-0.127380643,0.008376659,0.399436566,0.041407138,-0.094997663,0.113305282,-0.045376315,0.023796381,-0.221073628,0.048937803,0.016818667,0.090418745,-0.147726591,-0.083589227,0.055504467,0.024229151,0.042757015,0.098561149,0.237998837,-0.103523822,0.084706864,-0.073648241,0.052866808,0.07028942,0.048281153,0.06209709,-0.139355985,0.055266752,-0.07988237,-0.108394288,-0.147233705,0.111474624,-0.016411865,0.176079448,-0.138214881,-0.014634163,-0.005021185,0.086724112,0.105080449,-0.077188435,0.101230204,0.024585518,-0.016650596,-0.255477324,0.016899988,0.007204656,-0.032749069,0.079203027,0.013553836,-0.046900216,-0.112470206,-0.057328971,0.09453078,0.111827171,-0.057186306,0.099308676,0.057373538,-0.301525465,-0.002743036,-0.168993662,0.137629834,-0.031480434,-0.250755958,0.185487041,-0.026549734,0.017433019,-0.106656573,0.054803959,0.10600707,0.001310956,-0.082106751
14,-0.062885146,1.23E-17,-0.13955398,-0.046208321,0.09069205,0.016685764,-0.067937583,-0.017399098,-0.003410456,-0.060350124,0.044178079,-0.033246174,0.034352926,0.092997059,-0.082670863,-0.101910118,0.134359955,-0.028578652,0.110164278,-0.12891122,-0.019445264,0.07725423,0.08969729,-0.189474026,-0.009626304,-0.2075386,-0.001035129,0.136933157,0.34950959,0.031014743,-0.014851578,-0.026079494,0.248180761,0.10893674,-0.067834286,0.058723974,-0.063491602,0.079652292,-0.05620253,0.065809056,-0.069847091,0.043429698,-0.144770354,-0.070355438,0.027706894,-0.201853554,-0.033807427,-0.054099878,0.117819111,0.130189943,-0.07031675,-0.147803959,0.076533723,-0.153570746,-0.197419756,-0.055172369,0.025201294,-0.053844212,0.07441414,-0.082349316,0.060499432,0.008861994,-0.072699015,-0.055435754,0.047035115,0.250179728,0.059223623,0.01237859,-0.024431432,-0.041216295,0.126712347,-0.335198055,-0.059462662,0.043551719,0.084113586,0.099237024,0.261385412,0.073674007,-0.110400132,0.03567029
15,0.012899143,6.64E-17,0.084492085,0.118634555,-0.076334903,0.079487708,-0.114912678,-0.096205683,-0.038837768,-0.055096724,-0.027878684,0.316766453,0.129009479,0.022448919,0.114433989,-0.019287213,-0.053243712,-0.008477236,0.144335602,-0.053762585,-0.042423162,0.069819538,0.020853601,-0.196760349,-0.15929558,-0.066552179,-0.094431783,0.005797827,-0.09778667,0.073408165,0.16543603,-0.021109965,0.001626772,0.019194212,0.172446421,0.052138441,-0.038351884,-0.065080189,0.058846051,-0.086250896,0.081690822,0.093682218,0.146023701,0.103617884,0.018742413,-0.017975554,-0.03366479,0.092219995,0.03431842,-0.081367506,-0.113160742,0.033869375,0.153426643,-0.076568577,0.029075683,0.020638896,0.187686072,-0.082584096,-0.104756682,0.069183594,0.121607306,0.012940503,0.009334981,-0.080203343,-0.012886479,-0.046695125,-0.032732353,0.029909488,0.060911888,-0.289076297,-0.256636494,0.062464884,-0.16280809,-0.325578134,-0.123831143,0.025231523,0.300284356,-0.107410672,-0.04434358,0.03598126
16,-0.127551386,-6.43E-18,-0.085264807,-0.009906685,-0.16655659,0.091602851,0.056858476,0.013106728,-0.009064004,0.033373157,0.037821229,0.177967913,-0.108507957,0.166934173,-0.048085449,-0.182851802,-0.089914298,0.010254832,-0.013578303,-0.090675618,0.169242136,0.168920231,0.072221548,0.076635985,0.13068178,-0.124236824,0.010838245,-0.215795386,-0.420063913,0.065942968,-0.014274147,-0.090453423,0.168472511,0.166719111,-0.004127979,0.025425724,0.152300663,0.099207006,-0.002130174,-0.093643439,-0.157394493,0.086399521,-0.202825221,0.054003299,-0.075220753,0.021185184,0.158933258,-0.113768459,0.026467172,0.099720965,-0.011203854,-0.03595768,-0.150326234,-0.064117771,0.044833753,0.016878491,-0.077510231,0.065232334,-0.010967743,-0.001448928,0.072072935,-0.018348762,0.152785274,-0.059290416,0.026301869,-0.039761658,0.173421442,-0.087746813,-0.126963034,-0.054282697,0.196479349,0.054777062,0.103854889,-0.15962282,0.037491862,0.160614261,0.030428744,-0.031990834,-0.045839819,-0.050562559
17,-0.042228696,6.73E-17,0.015746564,-0.02576583,0.070248749,-0.10945527,-0.001151648,0.052882707,0.024940687,0.227322203,-0.006459527,-0.136449002,0.272412759,-0.041340808,0.195449291,-0.155385165,-0.074167652,0.034494739,0.186231674,0.054527708,0.064996413,-0.097610551,0.050387228,0.259111957,-0.173796768,-0.18632783,-0.054530319,-0.113353054,0.122501268,0.078753545,0.173569859,-0.009609414,-0.000341351,-0.157397805,0.022123176,-0.038447212,0.01535616,0.098087914,0.055327803,-0.063701011,-0.020017504,-0.04468581,-0.015397079,0.004843937,0.038201057,-0.132367461,0.033546141,-0.064430431,-0.04337517,0.003166924,0.081298527,0.097122791,0.044160747,-0.107298381,-0.154681955,-0.07757797,0.145281984,-0.107708181,-0.12023226,-0.014175339,-0.104260511,0.04289588,-0.047108846,0.038912258,0.090966175,-0.062976013,-0.262190123,-0.012844727,-0.052981564,0.042784281,0.286883191,0.07778703,0.102936981,-0.247093626,0.003021186,0.188941457,-0.148744027,-0.082910899,-0.04172916,0.019978823
18,-0.066062624,-3.32E-17,-0.05920952,-0.066112885,0.140383848,-0.048002857,0.034519217,0.087465144,-0.007590386,0.137833414,0.001752781,-0.142518908,-0.047307356,0.013747876,-0.028308165,0.100631325,0.039891075,-0.003788743,0.0380378,-0.05607103,0.14977835,-0.032126888,-0.097238678,0.346512411,-0.016449505,0.08542195,0.002571569,0.086050644,-0.026313896,0.088151553,0.057889888,-0.040224602,0.148466672,0.266219857,0.056111025,-0.044232828,-0.100475821,-0.000885611,-0.013306675,-0.167549642,-0.048233725,0.140061673,0.148673164,-0.110951427,0.022184717,0.08576022,0.014339419,-0.27017998,-0.063053469,0.195324166,-0.057395391,-0.03276399,0.138202754,0.084554167,-0.101310494,0.064683836,0.071922789,0.024117927,-0.002617942,-0.062813432,-0.096682887,-0.080056142,-0.112515871,-0.129183058,-0.110746604,0.046161897,0.138211227,0.010275829,0.005678486,-0.153193325,-0.41343258,-0.092834426,-0.006941909,-0.053006615,-0.041689503,0.122862503,-0.151094668,-0.084673833,0.047376358,0.110539377
